Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/10/9,1113592300,0.895,113437400,101752152,10.1866,0.8965,0.9076,0.9168,0.0025,-1.1778,51.8679,FALSE,FALSE,-11.7618,177
2018/10/10,1131592300,0.895,138065300,123674736,12.201,0.8946,0.9032,0.9098,0.0014,-1.3049,39.1537,FALSE,FALSE,-11.9488,177
2018/10/11,1147592300,0.85,168009600,145370604,14.6402,0.8535,0.8952,0.8942,-0.0031,-6.0773,27.8755,FALSE,TRUE,-15.9941,177
2018/10/12,1159592300,0.867,144661400,123880420,12.4752,0.8669,0.8895,0.8802,-0.0052,-4.0044,26.3851,FALSE,TRUE,-14.6752,177
2018/10/15,1167592300,0.854,113183670,97682242,9.6938,0.855,0.8812,0.8722,-0.0079,-5.0584,20.7816,FALSE,TRUE,-15.8465,177
2018/10/16,1197592300,0.848,140766770,120689524,11.7541,0.8485,0.8774,0.8628,-0.0104,-5.2779,14.9182,FALSE,FALSE,-16.4862,177
2018/10/17,1215592300,0.852,148765800,126657177,12.2381,0.853,0.8724,0.8542,-0.0118,-4.162,14.2788,FALSE,TRUE,-16.0433,177
2018/10/18,1233592300,0.834,157342100,132299500,12.7548,0.8328,0.8659,0.851,-0.0143,-5.4422,9.9114,FALSE,TRUE,-18.0315,177
2018/10/19,1257592300,0.855,177695200,149288422,14.1298,0.857,0.8647,0.8486,-0.0144,-2.3694,19.6877,FALSE,TRUE,-15.6496,177
2018/10/22,1253592300,0.894,174548400,154160663,13.9239,0.8922,0.8688,0.8566,-0.0112,2.4153,42.661,FALSE,TRUE,-12.185,177
2018/10/23,1245592300,0.865,138010600,120958271,11.0799,0.8676,0.8702,0.86,-0.0109,-0.2211,46.6629,FALSE,TRUE,-14.6063,177
2018/10/24,1249592300,0.868,157193669,136560167,12.5796,0.8697,0.8716,0.8632,-0.0103,0.3758,50.6642,FALSE,FALSE,-14.3996,177
2018/10/25,1203592300,0.87,217729396,186039776,18.09,0.8715,0.8697,0.8704,-0.0095,0.8501,54.2206,FALSE,FALSE,-14.2224,177
2018/10/26,1203592300,0.864,152806013,132317340,12.6958,0.8715,0.8701,0.8722,-0.0093,0.4554,53.9248,FALSE,FALSE,-14.2224,177
2018/9/26,155892000,0.599,1553000,930280,0.9962,0.6009,0.5968,0.5966,-0.0076,1.2252,75.405,FALSE,FALSE,-41.6319,178
2018/9/27,152892000,0.592,3270200,1951569,2.1389,0.5925,0.5961,0.5964,-0.0073,0.0845,69.8102,FALSE,FALSE,-42.4478,178
2018/9/28,152892000,0.597,1194300,708150,0.7811,0.5974,0.5961,0.5974,-0.0067,0.8162,71.8275,FALSE,FALSE,-41.9718,178
2018/10/8,152892000,0.576,1591300,924616,1.0408,0.5768,0.5927,0.5926,-0.0077,-2.5518,49.0344,FALSE,TRUE,-43.9728,178
2018/10/9,152892000,0.576,1746400,1005308,1.1422,0.5769,0.5895,0.588,-0.0085,-2.3177,36.8563,FALSE,TRUE,-43.9631,178
2018/10/10,152892000,0.575,877500,503583,0.5739,0.5762,0.5859,0.5832,-0.009,-2.3216,29.4728,FALSE,TRUE,-44.0311,178
2018/10/11,158892000,0.533,6709800,3642057,4.2229,0.5338,0.5778,0.5714,-0.0127,-8.8759,20.9999,FALSE,TRUE,-48.1496,178
2018/10/12,160576100,0.53,2578600,1352965,1.6058,0.5304,0.5695,0.558,-0.0157,-8.6469,21.3684,FALSE,TRUE,-48.4798,178
